food_name,category,calories_per_100g,protein_per_100g,carbs_per_100g,fat_per_100g,serving_size_g,serving_name
White Rice (cooked),Thai,130.0,2.4,28.1,0.3,180.0,g (1 cup cooked)
Brown Rice (cooked),Grains,123.0,2.7,25.6,0.9,195.0,g (1 cup cooked)
Jasmine Rice (cooked),Thai,130.0,2.5,28.0,0.3,180.0,g (1 cup cooked)
Pad Thai (full plate),Thai,160.0,8.0,22.0,5.0,300.0,g (1 plate)
Pad Thai (no noodle extra),Thai,120.0,12.0,8.0,5.0,250.0,g
Khao Pad (Thai fried rice),Thai,150.0,5.0,20.0,5.5,300.0,g (1 plate)
Khao Man Gai (chicken rice full),Thai,118.0,10.0,15.0,2.5,450.0,g (1 plate)
Gai Yang (grilled chicken),Thai,165.0,31.0,0.0,3.6,120.0,g (1 piece)
Tom Kha Gai (1 bowl),Thai,80.0,6.0,4.0,5.0,350.0,g (1 bowl)
Tom Yum Goong (1 bowl),Thai,50.0,5.0,3.5,2.0,350.0,g (1 bowl)
Tom Yum (clear broth),Thai,40.0,4.0,3.0,1.0,350.0,g (1 bowl)
Som Tam,Thai,50.0,2.0,9.0,0.5,200.0,g (1 serving)
Larb Gai (chicken larb),Thai,120.0,14.0,7.0,4.0,200.0,g (1 serving)
Pad Kra Pao Gai (Thai basil chicken + rice),Thai,148.0,9.0,18.0,4.0,350.0,g (1 plate)
Pad Kra Pao Gai (no rice),Thai,140.0,15.0,4.0,7.0,200.0,g (stir fry only)
Massaman Curry + Rice,Thai,128.0,6.0,15.0,5.0,400.0,g (1 plate)
Green Curry + Rice,Thai,120.0,6.0,13.0,5.0,400.0,g (1 plate)
Red Curry + Rice,Thai,118.0,6.0,13.0,5.0,400.0,g (1 plate)
Pad See Ew,Thai,145.0,7.0,19.0,4.0,300.0,g (1 plate)
Boat Noodle (small bowl),Thai,70.0,7.0,8.0,1.5,300.0,g (1 small bowl)
Satay Chicken (3 skewers),Thai,200.0,22.0,5.0,10.0,90.0,g (3 skewers)
Mango Sticky Rice,Thai,200.0,3.0,40.0,4.5,200.0,g (1 serving)
Coconut Milk,Thai,230.0,2.3,5.5,24.0,100.0,ml
Pad Woon Sen (glass noodles),Thai,130.0,8.0,16.0,4.0,300.0,g (1 plate)
Khao Tom (rice porridge),Thai,60.0,3.0,12.0,0.5,350.0,g (1 bowl)
Duck Rice (Khao Na Ped),Thai,145.0,12.0,16.0,4.5,400.0,g (1 plate)
Pork Belly Stir Fry + Rice,Thai,165.0,9.0,18.0,6.5,350.0,g (1 plate)
Moo Ping (pork skewer),Thai,210.0,18.0,8.0,12.0,60.0,g (2 skewers ~60g)
Khanom Pang Na Moo (Thai toast),Thai,300.0,10.0,30.0,16.0,100.0,g
Salmon Sashimi,Japanese,142.0,20.0,0.0,6.0,60.0,g (3 pieces ~60g)
Tuna Sashimi,Japanese,108.0,23.0,0.0,1.0,60.0,g (3 pieces ~60g)
Edamame (shelled),Japanese,122.0,11.0,9.0,5.0,155.0,g (1 cup)
Miso Soup,Japanese,40.0,3.0,5.0,1.0,250.0,ml (1 bowl)
Ramen (full bowl),Japanese,80.0,5.0,10.0,2.5,500.0,g (1 bowl)
Tonkotsu Ramen,Japanese,95.0,6.0,11.0,3.5,500.0,g (1 bowl)
